,path,name,con_name,country,culture,dateFrom,dateTo,economic,group,lang,polalign,source,url,continent,linguisticblocs,militarydefenseblocs,religions,EconomicQuality,Education,EnterpriseConditions,Governance,Health,Individualism,Indulgence,InvestmentEnvironment,LivingConditions,LongTermOrientation,MarketAccessandInfrastructure,Masculinity,NaturalEnvironment,PersonalFreedom,PowerDistance,SafetyandSecurity,SocialCapital,UncertaintyAvoidance,economicblocs,politicalregionalblocs
95,/Event/7442714159/7442758753/7444755549,7444755549,,FR,C14,2023-03-12T08:45:00,2023-03-13T14:26:00,C2,7442714159,eng,Public broadcaster,france24.com,ChatGPT,EU,Fre,NATO,Christian,,,,,,,,,,,,,,,,,,,EU,
96,/Event/7442714159/7442758753/7444786948,7444786948,,DE,C5,2023-03-12T08:45:00,2023-03-13T14:46:00,C2,7442714159,eng,,dw.com,,EU,Ger,NATO,Christian,,,,,,,,,,,,,,,,,,,EU,
97,/Event/7442714159/7442758753/7445028620,7445028620,,,,2023-03-12T08:45:00,2023-03-13T17:31:00,,7442714159,eng,,ca.sports.yahoo.com,,,,,,,,,,,,,,,,,,,,,,,,,
98,/Event/7442714159/7442758753/7445172640,7445172640,,NG,C12,2023-03-12T08:45:00,2023-03-13T19:22:00,C5,7442714159,eng,,newtelegraphng.com,,AF,,,Muslim,,,,,,,,,,,,,,,,,,,AfCFTA,AU
99,/Event/7442714159/7442758753/7445189973,7445189973,,IN,C18,2023-03-12T08:45:00,2023-03-13T19:38:00,C17,7442714159,eng,,newindianexpress.com,,AS,,,Hindu,,,,,,,,,,,,,,,,,,,,
100,/Event/7442714159/7442758753/7445189973/7445774609,7445774609,India,,,2023-03-13T19:38:00,2023-03-14T06:09:00,,7442714159,eng,,malawi24.com,,,,,,average,average,best,best,worst,low,low,average,worst,high,average,high,worst,average,high,worst,worst,low,,
101,/Event/7442714159/7442758753/7445688762,7445688762,,AF,,2023-03-12T08:45:00,2023-03-14T04:47:00,C8,7442714159,eng,,tolonews.com,,AS,,,Muslim,,,,,,,,,,,,,,,,,,,,
102,/Event/7442714159/7442758753/7445835849,7445835849,,IN,C18,2023-03-12T08:45:00,2023-03-14T06:56:00,C17,7442714159,eng,,republicworld.com,,AS,,,Hindu,,,,,,,,,,,,,,,,,,,,
103,/Event/7442714159/7442758753/7445885502,7445885502,,,,2023-03-12T08:45:00,2023-03-14T07:31:00,,7442714159,eng,,sabcnews.com,,,,,,,,,,,,,,,,,,,,,,,,,
104,/Event/7442714159/7442758753/7445904476,7445904476,,IN,C18,2023-03-12T08:45:00,2023-03-14T07:46:00,C17,7442714159,eng,Center-right,timesofindia.indiatimes.com,ChatGPT,AS,,,Hindu,,,,,,,,,,,,,,,,,,,,
105,/Event/7442714159/7442758753/7446089075,7446089075,,USA,C4,2023-03-12T08:45:00,2023-03-14T09:46:00,C2,7442714159,eng,,reliefweb.int,,,Eng,NATO,Christian,,,,,,,,,,,,,,,,,,,NAFTA,
106,/Event/7442714159/7442758753/7446219807,7446219807,,,,2023-03-12T08:45:00,2023-03-14T11:04:00,,7442714159,eng,,socialnews.xyz,,,,,,,,,,,,,,,,,,,,,,,,,
107,/Event/7442714159/7442758753/7446232093,7446232093,,,,2023-03-12T08:45:00,2023-03-14T11:11:00,,7442714159,eng,,zimeye.net,,,,,,,,,,,,,,,,,,,,,,,,,
108,/Event/7442714159/7442758753/7446420277,7446420277,,UK,C4,2023-03-12T08:45:00,2023-03-14T13:06:00,C2,7442714159,eng,Center-left,dailymail.co.uk,ChatGPT,EU,Eng,NATO,Christian,,,,,,,,,,,,,,,,,,,,
109,/Event/7442714159/7442758753/7446593177,7446593177,,,,2023-03-12T08:45:00,2023-03-14T14:48:00,,7442714159,eng,,msn.com,,,,,,,,,,,,,,,,,,,,,,,,,
110,/Event/7442714159/7442758753/7446633806,7446633806,,,,2023-03-12T08:45:00,2023-03-14T15:11:00,,7442714159,eng,,federalnewsnetwork.com,,,,,,,,,,,,,,,,,,,,,,,,,
