source.uri,country,language,Political-Alignment,wiki-url,Cultural-Class,Economic-Class
kitchenertoday.com,Canada,unknown,unknown,unknown,C4,C2
ladysmithchronicle.com,Canada,unknown,unknown,unknown,C4,C2
lapresse.ca,Canada,unknown,unknown,unknown,C4,C2
leaderpost.com,Canada,unknown,unknown,unknown,C4,C2
ledroit.com,Canada,unknown,unknown,unknown,C4,C2
medicinehatnews.com,Canada,unknown,unknown,unknown,C4,C2
mississauga.com,Canada,unknown,unknown,unknown,C4,C2
morinvillenews.com,Canada,unknown,unknown,unknown,C4,C2
mortgagebrokernews.ca,Canada,unknown,unknown,unknown,C4,C2
muskokaregion.com,Canada,unknown,unknown,unknown,C4,C2
mykawartha.com,Canada,unknown,unknown,unknown,C4,C2
nationalobserver.com,Canada,unknown,unknown,unknown,C4,C2
news.nationalpost.com,Canada,unknown,unknown,unknown,C4,C2
northernontario.ctvnews.ca,Canada,unknown,unknown,unknown,C4,C2
novascotia.ca,Canada,unknown,unknown,unknown,C4,C2
